Datum;Tijdstip;Temperatuur;Luchtvochtigheid
2025-10-22;13:44:14;20.63;60.20
2025-10-22;13:44:22;20.63;60.20
2025-10-22;13:44:25;20.63;60.20
2025-10-22;13:44:36;20.67;60.20
2025-10-22;13:44:46;20.63;60.20
2025-10-22;13:44:57;20.63;60.20
2025-10-22;13:45:08;20.63;60.20
2025-10-22;13:45:19;20.73;61.27
2025-10-22;13:45:29;20.73;63.00
2025-10-22;13:45:40;20.87;63.63
2025-10-22;13:45:51;20.87;62.83
2025-10-22;13:46:02;20.87;62.50
2025-10-22;13:46:12;20.87;61.90
2025-10-22;13:46:23;20.83;61.73
2025-10-22;13:46:34;20.83;61.63
2025-10-22;13:46:45;20.83;61.20
2025-10-22;13:46:55;20.87;61.13
2025-10-22;13:47:06;20.87;61.07
2025-10-22;13:47:17;20.80;60.70
2025-10-22;13:47:28;20.87;60.63
2025-10-22;13:47:38;20.80;60.63
2025-10-22;13:47:49;20.87;60.60
2025-10-22;13:48:00;20.87;60.53
2025-10-22;13:48:11;20.80;60.57
2025-10-22;13:48:21;20.87;60.53
2025-10-22;13:48:32;20.80;60.57
2025-10-22;13:48:43;20.80;60.57
2025-10-22;13:48:54;20.80;60.60
2025-10-22;13:49:04;20.80;60.60
2025-10-22;13:49:15;20.93;60.27
2025-10-22;13:49:26;20.80;60.33
2025-10-22;13:49:37;20.80;60.33
2025-10-22;13:49:47;20.80;60.40
2025-10-22;13:49:58;20.83;60.40
2025-10-22;13:50:09;20.87;60.43
2025-10-22;13:50:20;20.87;60.43
2025-10-22;13:50:30;20.87;60.43
2025-10-22;13:50:41;20.93;60.40
2025-10-22;13:50:52;20.87;60.43
2025-10-22;13:51:02;20.93;60.40
2025-10-22;13:51:13;20.93;60.40
2025-10-22;13:51:24;20.93;60.40
2025-10-22;13:51:35;20.93;60.33
2025-10-22;13:51:45;20.93;60.37
2025-10-22;13:51:56;20.93;60.40
2025-10-22;13:52:07;20.93;60.40
2025-10-22;13:52:18;20.93;60.40
2025-10-22;13:52:28;20.93;60.47
2025-10-22;13:52:39;20.93;60.47
2025-10-22;13:52:50;20.93;60.47
2025-10-22;13:53:01;20.93;60.47
2025-10-22;13:53:11;21.07;63.23
2025-10-22;13:53:22;21.77;66.33
2025-10-22;13:53:33;22.57;68.60
2025-10-22;13:53:44;23.53;70.90
2025-10-22;13:53:54;24.13;69.67
2025-10-22;13:54:05;24.40;66.70
2025-10-22;13:54:16;24.37;63.53
2025-10-22;13:54:27;24.37;60.83
2025-10-22;13:54:37;24.27;58.20
2025-10-22;13:54:48;24.03;56.73
2025-10-22;13:54:59;24.00;54.97
2025-10-22;13:55:10;23.90;54.17
2025-10-22;13:55:20;23.70;53.53
2025-10-22;13:55:31;23.60;52.80
2025-10-22;13:55:42;23.53;52.40
2025-10-22;13:55:53;23.47;52.47
2025-10-22;13:56:03;23.27;52.27
2025-10-22;13:56:14;23.10;52.43
2025-10-22;13:56:25;23.07;52.17
2025-10-22;13:56:36;23.07;52.33
2025-10-22;13:56:46;22.87;52.60
2025-10-22;13:56:57;22.83;52.77
2025-10-22;13:57:08;22.67;52.63
2025-10-22;13:57:19;22.63;52.80
2025-10-22;13:57:29;22.53;53.07
2025-10-22;13:57:40;22.53;53.23
2025-10-22;13:57:51;22.43;54.07
2025-10-22;13:58:02;22.47;54.20
2025-10-22;13:58:12;22.37;54.40
2025-10-22;13:58:23;22.30;55.30
2025-10-22;13:58:34;22.17;55.43
2025-10-22;13:58:45;22.13;55.60
2025-10-22;13:58:55;22.07;55.77
2025-10-22;13:59:06;22.03;55.87
2025-10-22;13:59:17;21.97;56.00
2025-10-22;13:59:27;22.03;56.07
2025-10-22;13:59:38;22.00;56.53
2025-10-22;13:59:49;21.90;56.67
2025-10-22;14:00:00;21.90;56.80
2025-10-22;14:00:10;21.93;56.83
2025-10-22;14:00:21;21.90;56.93
2025-10-22;14:00:32;21.87;57.03
2025-10-22;14:00:43;21.83;57.07
2025-10-22;14:00:53;21.83;57.20
2025-10-22;14:01:04;21.77;57.30
2025-10-22;14:01:15;21.67;57.43
2025-10-22;14:01:26;21.67;57.53
2025-10-22;14:01:36;21.53;57.67
2025-10-22;14:01:47;21.57;57.73
2025-10-22;14:01:58;21.57;57.80
2025-10-22;14:02:09;21.57;58.13
2025-10-22;14:02:19;21.53;58.20
2025-10-22;14:02:30;21.53;58.27
2025-10-22;14:02:41;21.53;58.30
2025-10-22;14:02:52;21.50;58.37
2025-10-22;14:03:02;21.50;58.43
2025-10-22;14:03:13;21.47;58.53
